[2025-11-26 11:53:19] [새 예약 신청] 예약 ID: 5ed1d768-2b5d-496a-baeb-1baabbce268d | 사용자: s1234 | 강의실: 정보관 9층 916호 | 날짜: 2025-11-29 12:00~13:00
[2025-11-26 12:07:51] [새 예약 신청] 예약 ID: f6fcf1d4-4180-4483-8bd0-a2a97dde32ea | 사용자: s1234 | 강의실: 정보관 9층 918호 | 날짜: 2025-11-30 12:00~13:00
[2025-11-26 12:10:42] [새 예약 신청] 예약 ID: b57d320e-d2d1-4186-a562-2dd994304227 | 사용자: s123 | 강의실: 정보관 9층 918호 | 날짜: 2025-11-29 15:00~16:00
[2025-11-26 12:16:09] [새 예약 신청] 예약 ID: 328d6596-2f02-4f1c-9395-8c40045410b1 | 사용자: s123 | 강의실: 정보관 9층 918호 | 날짜: 2025-11-28 18:00~19:00
[2025-11-26 12:16:18] [새 예약 신청] 예약 ID: 8acca22d-c3d6-43d2-9d11-948521b50180 | 사용자: s123 | 강의실: 정보관 9층 918호 | 날짜: 2025-11-28 19:00~20:00
[2025-11-26 12:16:24] [새 예약 신청] 예약 ID: bf66249d-2233-402a-9c2e-4e44becb6694 | 사용자: s123 | 강의실: 정보관 9층 918호 | 날짜: 2025-11-28 20:00~21:00
[2025-11-26 12:16:37] [새 예약 신청] 예약 ID: 46f99697-57fd-4e3c-9f5f-761ec65741af | 사용자: s123 | 강의실: 정보관 9층 918호 | 날짜: 2025-11-28 21:00~22:00
[2025-11-26 12:33:41] [새 예약 신청] 예약 ID: 053af5b9-bdf0-4d3e-a360-bef5ab852191 | 사용자: s123 | 강의실: 정보관 9층 916호 | 날짜: 2025-11-30 09:00~10:00
[2025-11-26 12:33:48] [새 예약 신청] 예약 ID: 8f594d80-a4ac-472d-bdec-4ebdf4000a3b | 사용자: s123 | 강의실: 정보관 9층 916호 | 날짜: 2025-11-30 10:00~11:00
[2025-11-26 12:38:22] [새 예약 신청] 예약 ID: 61b7546f-847a-4163-ab82-c3cd8f0d376a | 사용자: s123 | 강의실: 정보관 9층 916호 | 날짜: 2025-11-29 14:00~15:00
[2025-11-26 12:41:55] [새 예약 신청] 예약 ID: 2669d167-b205-449c-94e7-67e240ff8105 | 사용자: s123 | 강의실: 정보관 9층 914호 | 날짜: 2025-11-26 12:00~13:00
[2025-11-26 12:42:02] [새 예약 신청] 예약 ID: 7034e5ca-0229-4b7f-9a1f-27ce0e034b74 | 사용자: s123 | 강의실: 정보관 9층 914호 | 날짜: 2025-11-26 09:00~10:00
[2025-11-26 12:48:24] [새 예약 신청] 예약 ID: ec8d952f-aff0-4996-85db-68220c8454cb | 사용자: s123 | 강의실: 정보관 9층 912호 | 날짜: 2025-11-27 17:00~18:00
